Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Annual Base Salary $,Estimated Annual Bonus $,Estimated Annual Equity / RSU Value,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
10/14/2025,Portfolio CISO,NextGen,Male,California,Bay Area,North America,37,Yes,1000 - 4999 employees,Banking / Financial Services,Publicly Traded Company,CISO,USD (U.S. Dollar),800000,$0,"$500,000",800000,,"$500,000",1300000,Other,0,I do not report to the Board of Directors,No,,,No,Corporate Indemnification Policy,No,No,No,,Financial and/or Risk-Based Metrics,No,Other,Not applicable,,Other,"Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors",Other,"AI-enhanced attacks,Identity/credential theft",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Actual,Deputy CISO,
10/18/2025,Director,NextGen,Male,"Denver, CO, USA",Denver,North America,12,No,"25,000+ employees",Banking / Financial Services,Publicly Traded Company,CISO,USD (U.S. Dollar),239000,"$60,000","$50,000",239000,"$60,000","$50,000",349000,Other,18,I do not report to the Board of Directors,No,,,No,Neither,No,No,Yes,No,"Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,,Shadow AI,"Shadow AI usage bypassing security controls,Data exposure/privacy breaches",Internal / proprietary AI risk framework,"API security,Ransomware",Not confident,"Location (RTO) constraints limiting hiring,Competing with salary expectations in the market",Already have a dedicated AI Security leader in place,Actual,Deputy CISO,
11/21/2025,CISO in Residence,NextGen,Male,Greensboro,Greensboro,North America,8,Yes,500 - 999 employees,Enterprise Software,Privately Held Company,CISO,USD (U.S. Dollar),300000,"$100,000","$60,000",300000,"$100,000","$60,000",460000,Other,0,Per request,Yes,"$20,000.00","$20,000.00",No,Neither,No,No,No,,Business Impact,No,Monitoring and detection for AI-driven threats,Established and repeatable,,Defining clear accountability/ownership for AI risk across the business,"Dependency on AI vendors with unclear security practices,Other","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF),Other","Cloud misconfigurations,Identity/credential theft",Somewhat confident,Time spent screening unqualified candidates,No,Actual,Deputy CISO,
10/29/2025,Global Head Attack Surface Management,NextGen,Male,Chicago,Chicago,North America,48,No,"25,000+ employees",Financial Services,Publicly Traded Company,CISO,USD (U.S. Dollar),240000,"$60,000",$0,240000,"$60,000",,300000,"Cloud Security,Product Security / AppSec,Security Operations,Corp IT Security / Enterprise Security",75,Per request,No,,,No,Not Sure,No,No,Yes,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,,Aligning AI security with enterprise risk management frameworks,"Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",None at this time,"Insider threats,AI-enhanced attacks",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Actual,Deputy CISO,
10/16/2025,IT Security Officer,NextGen,Male,"Boston, MA",Boston,North America,45,Yes,"25,000+ employees",Industrial / Manufacturing,Publicly Traded Company,CISO,USD (U.S. Dollar),226000,"$46,000",$0,226000,"$46,000",,272000,"Corp IT Security / Enterprise Security,Incident Response",1,I do not report to the Board of Directors,No,,,No,Neither,No,No,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Third-party/vendor AI risk management,Developing but inconsistent,,Aligning AI security with enterprise risk management frameworks,"Shadow AI usage bypassing security controls,Integration with critical systems creating attack vectors,Dependency on AI vendors with unclear security practices,AI decision-making in security tools creating blind spots","NIST AI Risk Management Framework (AI RMF),ISO/IEC 23894 (AI Risk Management),EU AI Act requirements (compliance-driven)","API security,Ransomware",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Competing with salary expectations in the market",Already have a dedicated AI Security leader in place,Actual,Deputy CISO,
11/12/2025,Sr. Manager Security Engineering,NextGen,Male,"Dana Point, CA",Los Angeles,North America,7,Yes,"25,000+ employees",Retail,Publicly Traded Company,CISO,USD (U.S. Dollar),245000,"$75,000","$33,000",245000,"$75,000","$33,000",353000,Security Operations,4,I do not report to the Board of Directors,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),Business Impact,No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,,Other,Other,None at this time,"AI-enhanced attacks,Identity/credential theft",Very confident,Time spent screening unqualified candidates,Already have a dedicated AI Security leader in place,Actual,Director Security Engineering,
11/4/2025,CIO,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,82,No,500 - 999 employees,Education,Non-Profit,COO / President,USD (U.S. Dollar),275000,$0,$0,275000,,,275000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Security Operations",35,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Monitoring and detection for AI-driven threats,Established and repeatable,2,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",None at this time,"Phishing/social engineering,Ransomware",Not confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",No,Actual,CIO,
11/3/2025,CIO,CIO,Male,"Tysons, va ,USA",DMV,North America,16,Yes,1000 - 4999 employees,Government,Privately Held Company,Other,USD (U.S. Dollar),300000,"$90,000",$0,300000,"$90,000",,390000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Corp IT Security / Enterprise Security,AI/ML Security Engineering,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Security Operations,Third Party Risk Management (TPRM),Privacy,Incident Response,Cloud Security,AI Ethics & Responsible Use",55,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,No,"Compliance and Regulatory Fine(s) Avoidance,Business Impact,Attack Surface / Risk Assessment",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,2,Defining clear accountability/ownership for AI risk across the business,"Regulatory compliance violations,Data exposure/privacy breaches","NIST AI Risk Management Framework (AI RMF),ISO/IEC 23894 (AI Risk Management)","AI-enhanced attacks,API security,Third party risk attacks,Cloud misconfigurations",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Actual,CIO,
11/20/2025,CIO,CIO,Male,Los Angeles,Los Angeles,North America,82,No,500 - 999 employees,Education,Non-Profit,COO / President,USD (U.S. Dollar),260000,$0,$0,260000,,,260000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations",35,I do not report to the Board of Directors,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment",Yes,Third-party/vendor AI risk management,Established and repeatable,5,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",None at this time,"Ransomware,Phishing/social engineering",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Competing with salary expectations in the market",No,Actual,CIO,
11/10/2025,CIO,CIO,Female,New York,NYC Metro,North America,84,No,1000 - 4999 employees,Education,Privately Held Company,CEO,USD (U.S. Dollar),400000,"$125,000","$4,000,000",400000,"$75,000","$760,000",1235000,"AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM),Other",110,At least quarterly,Yes,"$10,000.00","$10,000.00",Yes,Not Sure,Yes,No,No,,"Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment,Business Impact",Yes,Third-party/vendor AI risk management,Developing but inconsistent,7,Ensuring transparency and explainability of AI-driven decisions,"Integration with critical systems creating attack vectors,Data exposure/privacy breaches",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,Mobile / BYOD threats,Phishing/social engineering,Zero-day exploits",Somewhat confident,Competing with salary expectations in the market,No,Actual,CIO,
11/13/2025,CIO,CIO,Male,Austin,Austin,North America,55,Yes,"5000 - 9,999 employees",Enterprise Software,Publicly Traded Company,COO / President,USD (U.S. Dollar),430000,"$250,000","$1,000,000",430000,"$74,000","$760,000",1264000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,AI Safety & Reliability,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",450,At least quarterly,Yes,"$250,000.00","$250,000.00",Yes,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,Yes,Yes,Yes (Cash and / or Equity),"Percentage of company revenue,Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment,Business Impact,Other",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Shadow AI,"Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls,AI decision-making in security tools creating blind spots",ISO/IEC 23894 (AI Risk Management),"Identity/credential theft,Insider threats,Phishing/social engineering",Very confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Actual,CIO,
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Denver, CO, USA",Denver,North America,38,Yes,1000 - 4999 employees,Enterprise Software,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),350000,,"$50,000",350000,,"$50,000",400000,"AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Security Operations,Trust & Safety",5,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,Yes,Yes,Yes (Cash and / or Equity),Business Impact,No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,25,Aligning AI security with enterprise risk management frameworks,Data exposure/privacy breaches,"NIST AI Risk Management Framework (AI RMF),Other","AI-enhanced attacks,API security,Phishing/social engineering,Ransomware,Third party risk attacks",Somewhat confident,Competing with salary expectations in the market,I am the AI Security leader,Synthetic,CISO,Amazon
Synthetic-2026,VP & CISO,CISO / Head Security Level,Male,"Houston, TX, USA",Houston,North America,2,Yes,"5000 - 9,999 employees",Aerospace & Defense,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),390000,"$31,000","$759,000",390000,"$31,000","$759,000",1180000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Security Operations,Third Party Risk Management (TPRM)",81,I do not report to the Board of Directors,Yes,"$140,000","$140,000",No,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,No,"Business Impact,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,5,Aligning AI security with enterprise risk management frameworks,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",I am the AI Security leader,Synthetic,CISO,IBM
Synthetic-2026,VP & CISO,CISO / Head Security Level,Male,"New York, NY, USA",NYC Metro,North America,121,Yes,250 - 499 employees,EdTech,Non-Profit,CEO,USD (U.S. Dollar),190000,,,190000,,,190000,"AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",4,At least quarterly,No,,,No,Neither,No,Yes,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Percentage of company revenue",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,1,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,API security,Cloud misconfigurations,Insider threats",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CISO,University of Michigan
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Columbia, USA",Columbia,North America,49,Yes,"25,000+ employees",Cloud Security,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),350000,"$150,000","$160,000",350000,"$150,000","$160,000",660000,"AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Trust & Safety",79,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,Business Impact,No,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"AI-enhanced attacks,Cloud misconfigurations,Identity/credential theft,Insider threats,Third party risk attacks",Not confident,"Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,CISO,Humana
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"Boston, MA, USA",Boston,North America,46,No,500 - 999 employees,Cloud Security,Publicly Traded Company,CEO,USD (U.S. Dollar),290000,"$400,000",$0,290000,"$400,000",$0,330000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Third Party Risk Management (TPRM)",12,At least annually,No,,,No,Neither,No,No,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,35,Establishing regulatory compliance and auditability for AI systems,"Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF),Other","AI-enhanced attacks,API security,Phishing/social engineering,Ransomware,Third party risk attacks",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CISO,Intuit
Synthetic-2026,"VP, CISO",CISO / Head Security Level,Male,"Boston, MA, USA",Boston,North America,6,Yes,500 - 999 employees,Healthcare,Publicly Traded Company,CEO,USD (U.S. Dollar),385000,"$50,000","$680,000",385000,"$50,000","$680,000",1115000,"AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Information Technology (IT) / Business Technology (BizApps),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",24,At least quarterly,No,,,No,Not Sure,No,No,No,Yes (Cash and / or Equity),Attack Surface / Risk Assessment,Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,3,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"API security,Identity/credential theft,Phishing/social engineering,Ransomware",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CISO,Comcast
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Newark, USA",Newark,North America,82,Yes,"5000 - 9,999 employees",Entertainment,Government / Municipality,Chief Technology Officer,USD (U.S. Dollar),330000,,,330000,,,780000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations,Trust & Safety",12,At least semi-annually,No,,,No,Neither,No,No,No,No,Percentage of company revenue,No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,10,Shadow AI,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches","EU AI Act requirements (compliance-driven),ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Phishing/social engineering",Not confident,"Time spent screening unqualified candidates,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CISO,Los Angeles County
Synthetic-2026,CSO,CISO / Head Security Level,Male,"Washington, DC, USA",DMV,North America,1,Yes,"5000 - 9,999 employees",FinTech,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),350000,"$93,000",,350000,"$93,000",,480000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Infrastructure Engineering / Operations,Other,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",45,At least quarterly,No,,,Yes,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",No capability in place,2,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,Cloud misconfigurations,Insider threats,Zero-day exploits",Don't Know / Not applicable,Risk of hiring someone who looks good on paper but lacks depth,Yes,Synthetic,CISO,Hub International
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"Los Angeles, CA, USA",Los Angeles,North America,5,Yes,1000 - 4999 employees,Enterprise Software,Publicly Traded Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),350000,"$50,000","$50,000",350000,"$50,000","$50,000",450000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",11,Per request,No,,,No,Neither,Yes,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,1,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"AI-enhanced attacks,Phishing/social engineering",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,CISO,Synopsys
Synthetic-2026,"VP, CISO",CISO / Head Security Level,Male,"Denver, CO, USA",Denver,North America,33,No,"5000 - 9,999 employees",Government,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),400000,"$70,000","$335,000",400000,"$70,000","$335,000",805000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Incident Response,Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",30,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Defining clear accountability/ownership for AI risk across the business,"Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Phishing/social engineering,Third party risk attacks",Very confident,Competing with salary expectations in the market,No,Synthetic,CISO,CBRE
Synthetic-2026,"EVP, CISO",CISO / Head Security Level,Male,"San Francisco, CA, USA",Bay Area,North America,12,Yes,250 - 499 employees,Energy,Government / Municipality,CEO,USD (U.S. Dollar),290000,"$120,000",,290000,"$120,000",,345000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Third Party Risk Management (TPRM),Trust & Safety",4,At least annually,No,,,No,Neither,No,No,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,2,Shadow AI,"Integration with critical systems creating attack vectors,Regulatory compliance violations",Internal / proprietary AI risk framework,"Identity/credential theft,Ransomware",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CISO,U.S. Department of Homeland Security
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Seattle, WA, USA",Seattle,North America,36,Yes,"5000 - 9,999 employees",Leisure / Hospitality,Non-Profit,Chief Information Officer,USD (U.S. Dollar),420000,"$150,000",,420000,"$150,000",,850000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Privacy,Security Operations,Trust & Safety",25,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Percentage of company revenue",No,Third-party/vendor AI risk management,Established and repeatable,5,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,IoT/OT device vulnerabilities,Phishing/social engineering",Very confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Already have a dedicated AI Security leader in place,Synthetic,CISO,Smithsonian Institution
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"New York, NY, USA",NYC Metro,North America,31,Yes,500 - 999 employees,Financial Services,Publicly Traded Company,CEO,USD (U.S. Dollar),250000,"$53,000","$17,000",250000,"$53,000","$17,000",320000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",54,At least quarterly,No,,,No,Neither,No,No,No,No,"Financial and/or Risk-Based Metrics,Percentage of company revenue",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,5,Shadow AI,"Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Zero-day exploits",Somewhat confident,"Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",I am the AI Security leader,Synthetic,CISO,CVS Health
Synthetic-2026,CISO,CISO / Head Security Level,Male,"San Francisco, CA, USA",Bay Area,North America,33,Yes,500 - 999 employees,Enterprise Software,Publicly Traded Company,CEO,USD (U.S. Dollar),330000,"$391,000","$124,000",330000,"$391,000","$124,000",845000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",10,Per request,Yes,"$20,000","$20,000",No,Neither,No,No,Yes,No,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics,Percentage of company revenue",Yes,Third-party/vendor AI risk management,Developing but inconsistent,2,Establishing regulatory compliance and auditability for AI systems,"Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"Cloud misconfigurations,Phishing/social engineering",Somewhat confident,"Lack of alignment on the role requirements,Location (RTO) constraints limiting hiring",Already have a dedicated AI Security leader in place,Synthetic,CISO,Mastercard
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"Chattanooga, TN, USA",Chattanooga,North America,76,No,250 - 499 employees,Broadcasting / Media,Privately Held Company,CEO,USD (U.S. Dollar),315000,"$94,000","$116,000",315000,"$94,000","$116,000",525000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations",3,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF)","API security,Cloud misconfigurations,Identity/credential theft,Insider threats",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CISO,Evolent Health
