Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Industry Tier,Company Structure,Title of person you report to?,Annual Base,Annual Bonus,Est Annual Equity,Total Compensation,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Synthetic-2026,Director of Security Engineering,NextGen,Male,"Seattle, WA, USA",Seattle,North America,21,Yes,1000 - 4999 employees,HealthTech,High Consequence,Privately Held Company,CISO,"$310,000","$61,000","$314,000","$685,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Security Operations,Third Party Risk Management (TPRM)",7,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,0,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",EU AI Act requirements (compliance-driven),"Identity/credential theft,Insider threats,Phishing/social engineering,Ransomware",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,Director Security Engineering,Medidata
Synthetic-2026,Chief Information Security Officer,CISO / Head Security Level,Male,"Boston, MA, USA",Boston,North America,51,Yes,1000 - 4999 employees,Artificial Intelligence (AI),High Consequence,Privately Held Company,Chief Information Officer,"$310,000","$70,000","$320,000","$700,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",247,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,4,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Insider threats",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,CISO,ThreatConnect
Synthetic-2026,CISO,CISO / Head Security Level,Female,"Los Angeles, CA, USA",Los Angeles,North America,10,No,"5000 - 9,999 employees",Banking / Financial Services,High Consequence,Privately Held Company,Chief Technology Officer,"$310,000","$250,000","$215,000","$775,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Third Party Risk Management (TPRM)",44,At least quarterly,Yes,"$30,000","$30,000",No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,Financial and/or Risk-Based Metrics,No,Third-party/vendor AI risk management,Developing but inconsistent,0,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","EU AI Act requirements (compliance-driven),Other","IoT/OT device vulnerabilities,Phishing/social engineering,Ransomware",Somewhat confident,"Lack of alignment on the role requirements,Risk of hiring someone who looks good on paper but lacks depth",Already have a dedicated AI Security leader in place,Synthetic,CISO,Ramp
10/15/2025,Head of Information Security,CISO / Head Security Level,Female,"Kansas City, MO ",Kansas City,North America,17,No,< 250 employees,Artificial Intelligence (AI),High Consequence,Privately Held Company,Chief Technology Officer,"$310,000","$112,000","$425,000","$847,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Third Party Risk Management (TPRM),Trust & Safety",2,At least quarterly,No,,,No,Neither,Yes,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Third-party/vendor AI risk management,Developing but inconsistent,50,Defining clear accountability/ownership for AI risk across the business,Data exposure/privacy breaches,"EU AI Act requirements (compliance-driven),Internal / proprietary AI risk framework","AI-enhanced attacks,IoT/OT device vulnerabilities,Phishing/social engineering,Ransomware,Third party risk attacks,Zero-day exploits",Somewhat confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Actual,CISO,
Synthetic-2026,Deputy CSO,NextGen,Male,"Seattle, WA, USA",Seattle,North America,52,No,"25,000+ employees",Artificial Intelligence (AI),High Consequence,Privately Held Company,CISO,"$310,000","$88,000","$480,000","$878,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",5,Per request,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,5,Other,"Dependency on AI vendors with unclear security practices,Intellectual property theft through AI platforms",ISO/IEC 23894 (AI Risk Management),"API security,Identity/credential theft,Phishing/social engineering",Somewhat confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements,Time spent screening unqualified candidates",No,Synthetic,Deputy CISO,Sumo Logic
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Sarasota, USA",Sarasota,North America,27,Yes,"10,000 - 25,000 employees",HealthTech,High Consequence,Privately Held Company,Chief Financial Officer,"$310,000","$75,000","$540,000","$925,000","AI Data Protection / Privacy and Security,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",48,At least quarterly,No,,,Yes,"Corporate Directors & Officers (D&O) Policy, Corporate Indemnification Policy",No,No,Yes,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,5,Managing third-party/vendor AI risk,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors",Internal / proprietary AI risk framework,"Identity/credential theft,IoT/OT device vulnerabilities",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CISO,Medidata
Synthetic-2026,Deputy CISO,NextGen,Male,"New York, NY, USA",NYC Metro,North America,8,Yes,500 - 999 employees,Banking / Financial Services,High Consequence,Privately Held Company,CISO,"$310,000","$69,000","$616,000","$995,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Security Operations",7,Per request,Yes,"$120,000","$120,000",No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Established and repeatable,5,Shadow AI,Data exposure/privacy breaches,"Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF)","API security,Mobile / BYOD threats,Ransomware,Third party risk attacks",Very confident,Time spent screening unqualified candidates,I am the AI Security leader,Synthetic,Deputy CISO,Orca Security
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Washington, DC, USA",DMV,North America,51,Yes,"10,000 - 25,000 employees",Cloud Security,High Consequence,Publicly Traded Company,Chief Information Officer,"$310,000","$56,000","$679,000","$1,045,000","AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",19,At least quarterly,Yes,"$370,000","$370,000",No,Neither,No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Developing but inconsistent,5,Shadow AI,"Data exposure/privacy breaches,Intellectual property theft through AI platforms",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Phishing/social engineering",Not confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements",No,Synthetic,CISO,T-Mobile
Synthetic-2026,Deputy CISO,NextGen,Male,"San Francisco, CA, USA",Bay Area,North America,48,No,"10,000 - 25,000 employees",Banking / Financial Services,High Consequence,Privately Held Company,CISO,"$310,000","$41,000","$790,000","$1,141,000","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Trust & Safety",2,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,1,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Identity/credential theft,Phishing/social engineering,Ransomware",Somewhat confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,Deputy CISO,Brex
Synthetic-2026,Chief Information Security Officer,CISO / Head Security Level,Male,"Raleigh, NC, USA",Raleigh - Durham,North America,6,No,1000 - 4999 employees,Banking / Financial Services,High Consequence,Publicly Traded Company,COO / President,"$310,000","$40,000","$860,000","$1,210,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",6,At least quarterly,Yes,"$50,000","$50,000",No,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,0,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",None at this time,"Cloud misconfigurations,Insider threats,Ransomware",Not confident,Competing with salary expectations in the market,Yes,Synthetic,CISO,Morgan Stanley
Synthetic-2026,"Director, Product Security",NextGen,Male,"Austin, TX, USA",Austin,North America,60,Yes,"25,000+ employees",Enterprise SaaS,High Consequence,Privately Held Company,CISO,"$310,000","$51,000","$1,000,000","$1,361,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",15,I do not report to the Board of Directors,Yes,"$50,000","$50,000",No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Establishing regulatory compliance and auditability for AI systems,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Regulatory compliance violations",Internal / proprietary AI risk framework,"AI-enhanced attacks,Phishing/social engineering,Third party risk attacks",Very confident,Competing with salary expectations in the market,No,Synthetic,Director Product Security,Brex
Synthetic-2026,Deputy CISO,NextGen,Male,"Washington, DC, USA",DMV,North America,136,No,1000 - 4999 employees,Enterprise SaaS,High Consequence,Privately Held Company,CISO,"$310,000","$69,000","$1,000,000","$1,379,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,Incident Response,Post-Quantum Cryptography (PQC),Security Operations,Third Party Risk Management (TPRM)",150,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,5,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",None at this time,"AI-enhanced attacks,API security,Phishing/social engineering,Ransomware,Zero-day exploits",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,Deputy CISO,Airbase
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Seattle, WA, USA",Seattle,North America,48,Yes,1000 - 4999 employees,FinTech,High Consequence,Privately Held Company,Chief Technology Officer,"$310,000","$884,000","$215,000","$1,409,000","AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",3,I do not report to the Board of Directors,Yes,"$30,000","$30,000",No,Neither,No,No,No,Yes (Cash and / or Equity),"Business Impact,Percentage of company revenue",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,10,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF),None at this time","API security,Insider threats",Very confident,Time spent screening unqualified candidates,No,Synthetic,CISO,World Wide Technology
10/15/2025,CISO,CISO / Head Security Level,Male,"Hazlet, NY USA",NYC Metro,North America,55,Yes,500 - 999 employees,Artificial Intelligence (AI),High Consequence,Privately Held Company,Chief Technology Officer,"$310,000","$50,000","$1,200,000","$1,560,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",16,At least annually,No,,,Yes,Neither,Yes,No,Yes,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics,Business Impact",No,Workforce training and upskilling on AI risks,Developing but inconsistent,3,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls,Dependency on AI vendors with unclear security practices,Intellectual property theft through AI platforms","NIST AI Risk Management Framework (AI RMF),ISO/IEC 23894 (AI Risk Management),EU AI Act requirements (compliance-driven),Other","AI-enhanced attacks,API security,Ransomware,Insider threats,Cloud misconfigurations",Somewhat confident,"Time spent screening unqualified candidates,Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Actual,CISO,
Synthetic-2026,"Vice President, Cyber Security",NextGen,Male,"Los Angeles, CA, USA",Los Angeles,North America,30,No,"25,000+ employees",Healthcare,High Consequence,Privately Held Company,CISO,"$312,000","$60,000","$200,000","$572,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",7,I do not report to the Board of Directors,No,,,No,"Corporate Indemnification Policy,Corporate Directors & Officers (D&O) Policy",No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Percentage of company revenue",No,Other,Established and repeatable,0,Ensuring transparency and explainability of AI-driven decisions,"Integration with critical systems creating attack vectors,Regulatory compliance violations,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","Cloud misconfigurations,Phishing/social engineering",Not confident,Location (RTO) constraints limiting hiring,No,Synthetic,VP Security,Coalition
Synthetic-2026,"Director, Security Engineering",NextGen,Male,"Seattle, WA, USA",Seattle,North America,10,Yes,< 250 employees,Healthcare,High Consequence,Privately Held Company,CISO,"$312,000",,"$1,000,000","$1,312,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Third Party Risk Management (TPRM)",4,At least annually,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",Yes,No,Yes,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Managing third-party/vendor AI risk,"Integration with critical systems creating attack vectors,Regulatory compliance violations","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Identity/credential theft,IoT/OT device vulnerabilities,Ransomware,Third party risk attacks",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,Director Security Engineering,Sumo Logic
10/28/2025,Director Cyber Security,CISO / Head Security Level,Male,Chicago Illinois USA,Chicago,North America,52,No,250 - 499 employees,Banking / Financial Services,High Consequence,Privately Held Company,Other,"$313,000","$65,000","$125,000","$503,000","AI Safety & Reliability,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Security Operations,Third Party Risk Management (TPRM)",4,At least annually,Yes,"$12,000.00","$12,000.00",No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Financial and/or Risk-Based Metrics,Business Impact",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,15,Shadow AI,"Data exposure/privacy breaches,Regulatory compliance violations",None at this time,"Ransomware,Zero-day exploits",Not confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",No,Actual,CISO,
10/14/2025,CISO,CISO / Head Security Level,Male,"Mountain View, CA, USA",Bay Area,North America,41,No,500 - 999 employees,Artificial Intelligence (AI),High Consequence,Publicly Traded Company,Chief Technology Officer,"$314,000","$82,000","$336,000","$732,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Security Operations",3,I do not report to the Board of Directors,,,,No,Corporate Directors & Officers (D&O) Policy,Yes,No,No,,Business Impact,Yes,Third-party/vendor AI risk management,Initial / ad hoc efforts,1,Shadow AI,"Data exposure/privacy breaches,Intellectual property theft through AI platforms",Other,"Cloud misconfigurations,Insider threats,Third party risk attacks,Zero-day exploits",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Actual,CISO,
10/31/2025,CISO,CISO / Head Security Level,Male,Seattle WA,Seattle,North America,57,No,250 - 499 employees,Cloud Security,High Consequence,Privately Held Company,CEO,"$314,000","$95,000","$700,000","$1,109,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",14,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Other,Developing but inconsistent,15,Defining clear accountability/ownership for AI risk across the business,"Integration with critical systems creating attack vectors,Other","NIST AI Risk Management Framework (AI RMF),EU AI Act requirements (compliance-driven)","Phishing/social engineering,Insider threats",Don't Know / Not applicable,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Actual,CISO,
Synthetic-2026,VP Security,NextGen,Male,"Seattle, WA, USA",Seattle,North America,123,No,1000 - 4999 employees,Banking / Financial Services,High Consequence,Privately Held Company,CISO,"$315,000","$132,000",,"$447,000","AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Incident Response,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",76,I do not report to the Board of Directors,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,1,Other,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Ransomware",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,VP Security,Veeva Systems
Synthetic-2026,"Global Director, Governance, Risk, & Compliance",NextGen,Female,"Austin, TX, USA",Austin,North America,46,No,"25,000+ employees",FinTech,High Consequence,Privately Held Company,CISO,"$315,000",,"$170,000","$485,000","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",10,I do not report to the Board of Directors,Yes,"$75,000","$75,000",No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Developing but inconsistent,1,Establishing regulatory compliance and auditability for AI systems,Data exposure/privacy breaches,"NIST AI Risk Management Framework (AI RMF),None at this time","Ransomware,Zero-day exploits",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,Director GRC,NinjaRMM
10/17/2025,CISO,CISO / Head Security Level,Male,"Arlington, VA",DMV,North America,35,Yes,1000 - 4999 employees,Banking / Financial Services,High Consequence,Privately Held Company,Chief Technology Officer,"$315,000","$105,000","$80,000","$500,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),AI Safety & Reliability",20,At least annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Business Impact,Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Developing but inconsistent,1,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls,Intellectual property theft through AI platforms",Internal / proprietary AI risk framework,"Phishing/social engineering,Insider threats,Identity/credential theft,API security",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Competing with salary expectations in the market",I am the AI Security leader,Actual,CISO,
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Nashville, TN, USA",Nashville,North America,69,Yes,"25,000+ employees",Healthcare,High Consequence,Publicly Traded Company,Chief Information Officer,"$315,000","$200,000","$20,000","$535,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Security Operations",40,At least quarterly,No,,,No,Neither,No,No,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,5,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"API security,Phishing/social engineering,Third party risk attacks,Zero-day exploits",Very confident,"Other,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CISO,Pfizer
Synthetic-2026,"Director, GRC",NextGen,Male,"San Francisco, CA, USA",Bay Area,North America,82,No,1000 - 4999 employees,Banking / Financial Services,High Consequence,Privately Held Company,CISO,"$315,000",,"$265,000","$580,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Product Security / AppSec,Security Operations",24,I do not report to the Board of Directors,Yes,"$480,000","$480,000",No,Corporate Directors & Officers (D&O) Policy,Yes,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,5,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"API security,Third party risk attacks",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,Director GRC,Airbase
11/23/2025,"VP, Deputy CISO ",NextGen,Male,Chattanooga /TN / USA,Chattanooga,North America,15,Yes,"10,000 - 25,000 employees",Banking / Financial Services,High Consequence,Publicly Traded Company,CISO,"$315,000","$76,000","$216,000","$607,000","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Security Operations,Other",110,I do not report to the Board of Directors,No,,,No,Corporate Indemnification Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Percentage of company revenue,Business Impact,Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,2,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Identity/credential theft,Ransomware",Very confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",I am the AI Security leader,Actual,Deputy CISO,
